stage,config,models,year,games,accuracy,log_loss,brier,auc,avg_confidence
screen_xgboost,longsp_15g_8sp_15bp__sp_only,xgboost,2025,2430,0.5567901234567901,0.681135556772856,0.2442833362095969,0.5719522672509859,0.5681695479403961
screen_xgboost,longsp_15g_8sp_15bp__sp_only,xgboost,2026,680,0.5573529411764706,0.6850913541242224,0.24602026825213444,0.5526807871098528,0.5554788831548363
screen_xgboost,longsp_15g_8sp_15bp__bullpen_only,xgboost,2024,2485,0.5529175050301811,0.6826712540363193,0.245115214991299,0.5784756069076129,0.5761084594127317
screen_xgboost,longsp_15g_8sp_15bp__bullpen_only,xgboost,2025,2430,0.5534979423868313,0.6805137057796644,0.24403040494895722,0.5716049239495594,0.5676549554709217
screen_xgboost,longsp_15g_8sp_15bp__bullpen_only,xgboost,2026,680,0.5558823529411765,0.684193557156568,0.24558882999741247,0.5542099192618224,0.5569755533308376
screen_xgboost,longsp_15g_8sp_15bp__offense_sp,xgboost,2024,2485,0.5517102615694165,0.6822506130994048,0.24492046538836032,0.5798569478399436,0.575712934650086
screen_xgboost,longsp_15g_8sp_15bp__offense_sp,xgboost,2025,2430,0.548559670781893,0.6807678194539776,0.2441055401618822,0.5733102499029281,0.5680713692604626
screen_xgboost,longsp_15g_8sp_15bp__offense_sp,xgboost,2026,680,0.5558823529411765,0.6850384337546819,0.2460009298351944,0.5520123379119919,0.5554038193295984
screen_xgboost,longsp_15g_8sp_15bp__offense_bullpen,xgboost,2024,2485,0.5585513078470825,0.6823487300069372,0.24498117322017682,0.5793080448673031,0.5749295121067567
screen_xgboost,longsp_15g_8sp_15bp__offense_bullpen,xgboost,2025,2430,0.554320987654321,0.680201324122546,0.24388897883576963,0.5729765546683554,0.5680411434989162
screen_xgboost,longsp_15g_8sp_15bp__offense_bullpen,xgboost,2026,680,0.5514705882352942,0.6854701853754999,0.24619206583807843,0.5519074831358568,0.5573238372948823
screen_xgboost,longsp_15g_8sp_15bp__sp_bullpen,xgboost,2024,2485,0.5561368209255533,0.6820713762100314,0.24482968017455703,0.5790822549920325,0.5757751507958176
