date,year,home_team,away_team,home_score,away_score,home_win,home_ml,away_ml
2026-04-05,2026,CLE,CHC,6,5,1,106.0,-125.0
2026-04-05,2026,COL,PHI,4,1,1,131.0,-156.0
2026-04-05,2026,DET,STL,3,5,0,-138.0,118.0
2026-04-05,2026,KCR,MIL,5,8,0,-128.0,106.0
2026-04-05,2026,LAA,SEA,8,7,1,137.0,-162.0
2026-04-05,2026,MIN,TBR,1,4,0,-121.0,-4.0
2026-04-05,2026,NYY,MIA,6,7,0,-288.0,234.0
2026-04-05,2026,ATH,HOU,12,10,1,-2.0,-118.0
2026-04-05,2026,PIT,BAL,8,2,1,-122.0,101.0
2026-04-05,2026,SFG,NYM,2,5,0,-122.0,102.0
2026-04-05,2026,TEX,CIN,1,2,0,-120.0,2.0
2026-04-05,2026,WSN,LAD,6,8,0,148.0,-177.0
2026-04-06,2026,BOS,MIL,6,8,0,0.0,-118.0
2026-04-06,2026,CHW,BAL,1,2,0,118.0,-143.0
2026-04-06,2026,CLE,KCR,2,4,0,-8.0,-102.0
2026-04-06,2026,COL,HOU,9,7,1,142.0,-172.0
2026-04-06,2026,LAA,ATL,6,2,1,138.0,-169.0
2026-04-06,2026,MIN,DET,7,3,1,-124.0,106.0
2026-04-06,2026,SFG,PHI,4,6,0,-104.0,-114.0
2026-04-06,2026,TBR,CHC,6,4,1,-122.0,103.0
2026-04-06,2026,TEX,SEA,2,1,1,-113.0,-104.0
2026-04-06,2026,TOR,LAD,2,14,0,114.0,-136.0
2026-04-06,2026,WSN,STL,9,6,1,-108.0,-112.0
2026-04-07,2026,BOS,MIL,3,2,1,-167.0,136.0
2026-04-07,2026,CHW,BAL,2,4,0,124.0,-147.0
2026-04-07,2026,CLE,KCR,2,1,1,-122.0,53.0
2026-04-07,2026,COL,HOU,5,1,1,144.0,-176.0
2026-04-07,2026,LAA,ATL,2,7,0,109.0,-128.0
2026-04-07,2026,MIA,CIN,3,6,0,-135.0,115.0
2026-04-07,2026,MIN,DET,4,2,1,143.0,-170.0
2026-04-07,2026,NYM,ARI,4,3,1,-154.0,128.0
2026-04-07,2026,NYY,ATH,5,3,1,-250.0,200.0
2026-04-07,2026,PIT,SDP,7,1,1,-146.0,123.0
2026-04-07,2026,TBR,CHC,2,9,0,-123.0,3.0
2026-04-07,2026,TEX,SEA,3,2,1,-52.0,-116.0
2026-04-07,2026,TOR,LAD,1,4,0,129.0,-158.0
2026-04-07,2026,WSN,STL,6,7,0,-113.0,-106.0
2026-04-08,2026,CHW,BAL,3,5,0,130.0,-155.0
2026-04-08,2026,CLE,KCR,10,2,1,111.0,-131.0
2026-04-08,2026,COL,HOU,9,1,1,123.0,-146.0
2026-04-08,2026,LAA,ATL,2,8,0,105.0,-124.0
2026-04-08,2026,MIA,CIN,7,4,1,-129.0,109.0
2026-04-08,2026,MIN,DET,8,6,1,133.0,-157.0
2026-04-08,2026,NYM,ARI,2,7,0,-136.0,115.0
2026-04-08,2026,NYY,ATH,2,3,0,-193.0,161.0
2026-04-08,2026,PIT,SDP,2,8,0,0.0,-119.0
2026-04-08,2026,TBR,CHC,2,6,0,-112.0,-106.0
2026-04-08,2026,TOR,LAD,4,3,1,132.0,-157.0
2026-04-08,2026,WSN,STL,1,6,0,106.0,-126.0
2026-04-09,2026,MIA,CIN,8,1,1,-124.0,105.0
2026-04-09,2026,MIN,DET,3,1,1,116.0,-137.0
2026-04-09,2026,NYM,ARI,1,7,0,-182.0,152.0
2026-04-09,2026,SDP,COL,7,3,1,-180.0,151.0
2026-04-10,2026,ATL,CLE,11,5,1,-136.0,115.0
2026-04-10,2026,BAL,SFG,3,6,0,-116.0,3.0
2026-04-10,2026,CIN,LAA,2,10,0,-176.0,147.0
2026-04-10,2026,LAD,TEX,8,7,1,-221.0,182.0
2026-04-10,2026,MIL,WSN,3,7,0,-200.0,166.0
2026-04-10,2026,PHI,ARI,4,5,0,-176.0,148.0
2026-04-10,2026,SDP,COL,5,2,1,-178.0,150.0
2026-04-10,2026,SEA,HOU,9,6,1,-136.0,116.0
2026-04-10,2026,STL,BOS,3,2,1,113.0,-133.0
2026-04-10,2026,TBR,NYY,5,3,1,-48.0,-122.0
2026-04-10,2026,TOR,MIN,10,4,1,-149.0,125.0
2026-04-11,2026,BAL,SFG,6,2,1,-102.0,-118.0
2026-04-11,2026,CHC,PIT,3,4,0,-150.0,124.0
2026-04-11,2026,CIN,LAA,7,3,1,-123.0,1.0
2026-04-11,2026,DET,MIA,6,1,1,-139.0,116.0
2026-04-11,2026,LAD,TEX,6,3,1,-182.0,152.0
2026-04-11,2026,MIL,WSN,1,3,0,-168.0,140.0
2026-04-11,2026,NYM,ATH,6,11,0,-161.0,130.0
2026-04-11,2026,PHI,ARI,4,3,1,-126.0,105.0
2026-04-11,2026,SDP,COL,9,5,1,-163.0,136.0
2026-04-11,2026,SEA,HOU,8,7,1,-147.0,126.0
2026-04-11,2026,STL,BOS,1,7,0,116.0,-137.0
2026-04-11,2026,TBR,NYY,5,4,1,152.0,-182.0
2026-04-11,2026,TOR,MIN,4,7,0,-119.0,-1.0
2026-04-12,2026,ATL,CLE,13,1,1,-190.0,158.0
2026-04-12,2026,BAL,SFG,6,2,1,-122.0,53.0
2026-04-12,2026,CHC,PIT,7,6,1,-134.0,114.0
2026-04-12,2026,CIN,LAA,6,9,0,-110.0,-108.0
2026-04-12,2026,DET,MIA,8,2,1,-180.0,151.0
2026-04-12,2026,KCR,CHW,5,6,0,-181.0,151.0
2026-04-12,2026,LAD,TEX,2,5,0,-130.0,110.0
2026-04-12,2026,MIL,WSN,6,8,0,-204.0,169.0
2026-04-12,2026,PHI,ARI,3,4,0,-143.0,120.0
2026-04-12,2026,SDP,COL,7,2,1,-219.0,181.0
2026-04-12,2026,SEA,HOU,6,1,1,-183.0,152.0
2026-04-12,2026,STL,BOS,3,9,0,54.0,-122.0
2026-04-12,2026,TBR,NYY,5,4,1,119.0,-140.0
2026-04-12,2026,TOR,MIN,2,8,0,-133.0,62.0
2026-04-13,2026,ATL,MIA,4,10,0,-144.0,120.0
2026-04-13,2026,BAL,ARI,9,7,1,-130.0,110.0
2026-04-13,2026,MIN,BOS,13,6,1,141.0,-151.0
2026-04-13,2026,NYY,LAA,11,10,1,-184.0,152.0
2026-04-13,2026,ATH,TEX,1,8,0,106.0,-126.0
2026-04-13,2026,PHI,CHC,13,7,1,-182.0,152.0
2026-04-13,2026,PIT,WSN,16,5,1,-228.0,188.0
2026-04-13,2026,SEA,HOU,6,2,1,-176.0,147.0
2026-04-13,2026,STL,CLE,3,9,0,-51.0,-118.0
2026-04-14,2026,ATL,MIA,6,5,1,-156.0,132.0
2026-04-14,2026,BAL,ARI,3,4,0,-154.0,130.0
2026-04-14,2026,CHW,TBR,5,8,0,114.0,-136.0
2026-04-14,2026,CIN,SFG,2,1,1,-114.0,-106.0
2026-04-14,2026,DET,KCR,2,1,1,-122.0,103.0
2026-04-14,2026,HOU,COL,7,6,1,-176.0,148.0
2026-04-14,2026,LAD,NYM,2,1,1,-198.0,165.0
2026-04-14,2026,MIL,TOR,7,9,0,-121.0,102.0
2026-04-14,2026,NYY,LAA,1,7,0,-174.0,146.0
2026-04-14,2026,ATH,TEX,2,1,1,56.0,-126.0
2026-04-14,2026,PHI,CHC,4,10,0,-139.0,116.0
2026-04-14,2026,PIT,WSN,4,5,0,-182.0,153.0
2026-04-14,2026,SDP,SEA,4,1,1,51.0,-120.0
2026-04-14,2026,STL,CLE,6,5,1,56.0,-126.0
2026-04-15,2026,ATL,MIA,6,3,1,-164.0,138.0
2026-04-15,2026,BAL,ARI,5,8,0,-140.0,119.0
2026-04-15,2026,CHW,TBR,3,8,0,-108.0,-112.0
2026-04-15,2026,CIN,SFG,8,3,1,-107.0,-112.0
2026-04-15,2026,DET,KCR,2,1,1,-124.0,2.0
2026-04-15,2026,HOU,COL,3,1,1,-192.0,160.0
2026-04-15,2026,LAD,NYM,8,2,1,-196.0,164.0
2026-04-15,2026,MIL,TOR,2,1,1,52.0,-122.0
2026-04-15,2026,MIN,BOS,5,9,0,110.0,-130.0
2026-04-15,2026,NYY,LAA,5,4,1,-196.0,163.0
2026-04-15,2026,ATH,TEX,6,5,1,-118.0,-52.0
2026-04-15,2026,PHI,CHC,2,11,0,-138.0,116.0
2026-04-15,2026,SDP,SEA,7,6,1,-110.0,-108.0
2026-04-15,2026,STL,CLE,5,3,1,-112.0,-107.0
2026-04-16,2026,CHW,TBR,3,5,0,58.0,-128.0
2026-04-16,2026,CLE,BAL,4,2,1,-135.0,114.0
2026-04-16,2026,DET,KCR,10,9,1,50.0,-119.0
2026-04-16,2026,HOU,COL,2,3,0,-171.0,143.0
2026-04-16,2026,MIL,TOR,2,1,1,-118.0,-52.0
2026-04-16,2026,NYY,LAA,4,11,0,-294.0,235.0
2026-04-16,2026,ATH,TEX,6,9,0,-108.0,-112.0
2026-04-16,2026,PIT,WSN,7,8,0,-165.0,138.0
2026-04-16,2026,SDP,SEA,5,2,1,49.0,-119.0
2026-04-17,2026,ARI,TOR,6,3,1,-139.0,116.0
