team,barrel_pct,hard_hit_pct,avg_exit_velo,year
ARI,0.0540763107329124,0.3615152346966785,84.93846153846154,2021
ATL,0.0989878542510121,0.4137651821862348,88.0264705882353,2021
BAL,0.0771604938271604,0.3768004115226337,86.036,2021
BOS,0.0973029045643153,0.4178423236514523,87.87307692307692,2021
CHC,0.0711832656884171,0.3768342179206993,85.7675,2021
CHW,0.0793960058451047,0.3928397467121285,87.86206896551724,2021
CIN,0.0850382055706186,0.3820557061868375,85.19142857142856,2021
CLE,0.0725474031327287,0.3803242649079417,88.37142857142857,2021
COL,0.0657831325301204,0.3590361445783132,87.67096774193548,2021
DET,0.0763418447107868,0.3793642522146951,87.17200000000001,2021
HOU,0.0811408900909761,0.4216867469879518,86.16923076923078,2021
KCR,0.0680396246089676,0.3860792492179353,88.07368421052632,2021
LAA,0.081103448275862,0.3586206896551724,86.94074074074075,2021
LAD,0.0860354517942066,0.4055339386078685,86.35641025641026,2021
MIA,0.0580304806565064,0.365767878077374,87.08780487804877,2021
MIL,0.0798578199052132,0.3845971563981042,85.86451612903227,2021
MIN,0.0996098829648894,0.4078023407022106,87.84,2021
NYM,0.0757874015748031,0.3811515748031496,85.52307692307693,2021
NYY,0.1013530135301353,0.420910209102091,84.73870967741935,2021
OAK,0.0843724023275145,0.3908977556109725,89.54444444444444,2021
PHI,0.0721210688105935,0.3679356821943721,85.99333333333334,2021
PIT,0.0563751317175974,0.351685985247629,85.48717948717949,2021
SDP,0.0707984119982355,0.3967798853109837,86.57222222222222,2021
SEA,0.0808341143392689,0.3671508903467666,88.334375,2021
SFG,0.0929531757070004,0.3878071395456652,86.165625,2021
STL,0.079447322970639,0.3752775721687639,86.20322580645161,2021
TBR,0.0873414692510169,0.4048815506101938,84.97727272727273,2021
TEX,0.0603002070393374,0.3527432712215321,87.59629629629629,2021
TOR,0.0932416953035509,0.4206185567010309,86.14999999999999,2021
WSN,0.0658866995073891,0.3863916256157635,86.23823529411764,2021
ARI,0.0635195254572417,0.3534354918437963,86.98695652173913,2022
ATL,0.1040183696900114,0.4277841561423651,88.8409090909091,2022
BAL,0.0791959312182126,0.3848389440542504,87.64761904761905,2022
BOS,0.0772853778634125,0.4086919289231428,88.14782608695653,2022
CHC,0.0713231677324151,0.3743236596163306,88.16956521739131,2022
CHW,0.0736842105263157,0.4076754385964912,88.31904761904762,2022
CIN,0.0511229314420803,0.3291962174940898,86.52758620689656,2022
CLE,0.0448849396217817,0.3237639553429027,87.09545454545454,2022
COL,0.0591549295774647,0.368075117370892,87.42999999999999,2022
DET,0.0636577093660318,0.366031828854683,88.4090909090909,2022
HOU,0.0809844341607067,0.3908287757677745,88.72857142857143,2022
KCR,0.0768996960486322,0.3817629179331307,87.92857142857143,2022
LAA,0.0841145833333333,0.3625,88.0,2022
LAD,0.0941286113699906,0.4196178937558248,89.38947368421053,2022
MIA,0.0701136978884677,0.3730373578776394,87.48260869565217,2022
MIL,0.0870324189526184,0.3960099750623441,87.79523809523809,2022
MIN,0.0879730055435044,0.4131115931549771,89.73913043478261,2022
NYM,0.0742154368108566,0.3729855810008481,86.80799999999999,2022
NYY,0.093108169785486,0.4094020994979461,88.215,2022
OAK,0.0629175946547884,0.3379732739420935,86.55333333333333,2022
PHI,0.0848153214774281,0.4088007295941632,88.0047619047619,2022
PIT,0.0627682403433476,0.3688304721030043,88.03333333333333,2022
SDP,0.0697148030783159,0.387505658669081,87.87894736842105,2022
SEA,0.08,0.36878612716763,88.47200000000001,2022
SFG,0.0825904562139486,0.3791295228106974,87.65714285714286,2022
STL,0.0782304423894026,0.3821544613846538,86.18333333333334,2022
TBR,0.0661683886568476,0.3912947900637503,89.01666666666667,2022
TEX,0.0798911699233242,0.3945090279495424,88.08695652173913,2022
TOR,0.081952920662598,0.4350479511769834,88.89411764705882,2022
WSN,0.0574569073195103,0.3457406944791406,86.36190476190475,2022
ARI,0.0658041490073611,0.3863484273923712,88.24761904761905,2023
ATL,0.1153502900490852,0.4526996876394467,88.31,2023
BAL,0.0787364450730787,0.4059405940594059,88.58095238095238,2023
BOS,0.0773273273273273,0.4056556556556556,88.68571428571428,2023
CHC,0.0765409799051704,0.3831564687288327,88.66666666666667,2023
CHW,0.0678053830227743,0.3718944099378882,87.24,2023
CIN,0.0684221886466652,0.3660695014029786,87.35769230769232,2023
CLE,0.0515636190021484,0.3189305323466221,87.52000000000001,2023
COL,0.0766129032258064,0.3594913151364764,87.875,2023
DET,0.0803295571575695,0.4057672502574665,88.91499999999999,2023
HOU,0.0811732605729877,0.3879035925420646,88.41578947368421,2023
KCR,0.0856346592348619,0.4215860146947048,88.47272727272728,2023
LAA,0.0930343511450381,0.4041030534351145,88.46896551724137,2023
LAD,0.0816491511721907,0.3997574777687955,87.18095238095238,2023
MIA,0.0771611762104797,0.3869113420296263,88.74,2023
MIL,0.0726651480637813,0.3783599088838268,88.33636363636364,2023
MIN,0.1024453024453024,0.4136422136422136,89.22857142857143,2023
NYM,0.0831255195344971,0.4001108340260459,88.92,2023
NYY,0.095508658008658,0.4266774891774891,89.75,2023
OAK,0.0703186726362918,0.3510666315512246,87.89999999999999,2023
PHI,0.0865678663843801,0.4060221124441308,88.755,2023
PIT,0.07560035576638,0.4100207530388378,87.96521739130435,2023
SDP,0.0837199493884437,0.3920286798819064,88.69615384615385,2023
SEA,0.1025852585258525,0.4218921892189219,89.16842105263159,2023
SFG,0.0815529519871353,0.385021824029405,87.98965517241379,2023
STL,0.0838901262063845,0.418955704033655,88.904,2023
TBR,0.0828416332310597,0.4066556525843757,88.52380952380952,2023
TEX,0.0883295194508009,0.4130434782608695,88.715,2023
TOR,0.0819480215406228,0.3898384453289628,87.62222222222222,2023
WSN,0.0573632200530248,0.3509279344420342,86.99047619047619,2023
ARI,0.0795258620689655,0.3928879310344828,88.10499999999999,2024
ATL,0.0929628148740503,0.4056377449020392,88.75200000000001,2024
BAL,0.0867643638055361,0.423121656199116,89.35714285714286,2024
BOS,0.0896892655367231,0.4077212806026365,88.50434782608696,2024
CHC,0.0734502923976608,0.3721637426900585,88.0952380952381,2024
CHW,0.0570138300874964,0.3350268134349421,87.06521739130434,2024
CIN,0.0692978430472694,0.3591096833409821,87.25,2024
CLE,0.0591065292096219,0.3413516609392898,87.50526315789473,2024
COL,0.0852691992347636,0.3992894233397103,89.19,2024
DET,0.080817051509769,0.384251036116045,88.34210526315789,2024
HOU,0.0751547303271441,0.392130857648099,88.44090909090909,2024
KCR,0.0740068562210123,0.401895543456342,88.02380952380952,2024
LAA,0.0706374600049224,0.3620477479694807,87.55862068965517,2024
LAD,0.0944363103953147,0.4158125915080527,88.36875,2024
MIA,0.0685056077599272,0.370112155198545,87.88695652173914,2024
MIL,0.0721878862793572,0.3861557478368356,87.66,2024
MIN,0.0771044564961094,0.3829285545861825,87.73333333333333,2024
NYM,0.0884054616986808,0.4093959731543624,88.93157894736842,2024
NYY,0.10518259348349,0.4213863984255412,88.97727272727273,2024
OAK,0.0854193548387096,0.3904516129032258,88.53333333333333,2024
PHI,0.0805984555984556,0.4102316602316602,88.82631578947368,2024
PIT,0.0867065868263473,0.4062275449101796,88.425,2024
SDP,0.0673019654556283,0.3740321620011911,87.58260869565218,2024
SEA,0.0870213823968175,0.4027846842366981,88.61818181818181,2024
SFG,0.0849470694552026,0.4012393493415956,88.27692307692307,2024
STL,0.0685630926331145,0.3846340870410892,88.59444444444445,2024
TBR,0.0794213167995276,0.3743726011219368,87.64,2024
TEX,0.0740479548660084,0.3925716972261401,87.96363636363637,2024
TOR,0.0728442728442728,0.3747747747747748,87.11428571428571,2024
WSN,0.0518602029312288,0.3649943630214205,88.4952380952381,2024
ARI,0.0856980703745743,0.4006810442678774,88.82857142857144,2025
ATL,0.0881294964028776,0.4141187050359712,88.60799999999999,2025
BAL,0.092822966507177,0.4181818181818181,89.60384615384615,2025
BOS,0.0874709976798143,0.4406032482598608,89.5952380952381,2025
CHC,0.0980523841504365,0.4007163644504141,88.71176470588235,2025
CHW,0.0786686838124054,0.3986384266263237,88.37857142857142,2025
CIN,0.0698096101541251,0.3859927470534904,89.3695652173913,2025
CLE,0.0675422138836773,0.3567408201554543,87.08,2025
COL,0.0754716981132075,0.3882540526175923,87.50714285714285,2025
DET,0.0944047325610056,0.4081833867389697,88.75,2025
HOU,0.0802904982852531,0.3982247327012306,88.4925925925926,2025
KCR,0.0792079207920792,0.4034653465346535,88.93809523809524,2025
LAA,0.1035925196850393,0.3981299212598425,87.45172413793104,2025
LAD,0.0971650663008687,0.4144947416552355,88.0,2025
MIA,0.0764050764050764,0.4006734006734007,89.67142857142856,2025
MIL,0.0689877498388136,0.3941543090479261,88.34347826086957,2025
