Date,home_team,away_team,game_number,year,home_sp_id,home_sp_name,away_sp_id,away_sp_name,game_pk,game_id
2026-03-31,STL,NYM,1,2026,mlb_669467,Andre Pallante,mlb_673540,Kodai Senga,,20260331_STL_NYM_1
2026-03-31,TOR,COL,1,2026,mlb_453286,Max Scherzer,mlb_663372,Ryan Feltner,,20260331_TOR_COL_1
2026-04-01,ARI,DET,1,2026,mlb_668678,Zac Gallen,mlb_669373,Tarik Skubal,,20260401_ARI_DET_1
2026-04-01,ATL,ATH,1,2026,mlb_519242,Chris Sale,mlb_622663,Luis Severino,,20260401_ATL_ATH_1
2026-04-01,BAL,TEX,1,2026,mlb_669432,Trevor Rogers,mlb_543135,Nathan Eovaldi,,20260401_BAL_TEX_1
2026-04-01,CHC,LAA,1,2026,mlb_571510,Matthew Boyd,mlb_579328,Yusei Kikuchi,,20260401_CHC_LAA_1
2026-04-01,CIN,PIT,1,2026,mlb_671096,Andrew Abbott,mlb_694973,Paul Skenes,,20260401_CIN_PIT_1
2026-04-01,HOU,BOS,1,2026,mlb_681347,Mike Burrows,mlb_676979,Garrett Crochet,,20260401_HOU_BOS_1
2026-04-01,KCR,MIN,1,2026,mlb_702070,Noah Cameron,mlb_657746,Joe Ryan,,20260401_KCR_MIN_1
2026-04-01,LAD,CLE,1,2026,mlb_808967,Yoshinobu Yamamoto,mlb_668909,Gavin Williams,,20260401_LAD_CLE_1
2026-04-01,MIA,CHW,1,2026,mlb_645261,Sandy Alcantara,mlb_681343,Shane Smith,,20260401_MIA_CHW_1
2026-04-01,MIL,TBR,1,2026,mlb_694819,Jacob Misiorowski,mlb_656876,Drew Rasmussen,,20260401_MIL_TBR_1
2026-04-01,PHI,WSN,1,2026,mlb_650911,Cristopher Sánchez,mlb_676917,Cade Cavalli,,20260401_PHI_WSN_1
2026-04-01,SDP,SFG,1,2026,mlb_601713,Nick Pivetta,mlb_605288,Adrian Houser,,20260401_SDP_SFG_1
2026-04-01,SEA,NYY,1,2026,mlb_669923,George Kirby,mlb_693645,Cam Schlittler,,20260401_SEA_NYY_1
2026-04-01,STL,NYM,1,2026,mlb_669461,Matthew Liberatore,mlb_642547,Freddy Peralta,,20260401_STL_NYM_1
2026-04-01,TOR,COL,1,2026,mlb_592332,Kevin Gausman,mlb_607536,Kyle Freeland,,20260401_TOR_COL_1
2026-04-02,ARI,ATL,1,2026,mlb_669194,Ryne Nelson,mlb_625643,Reynaldo López,,20260402_ARI_ATL_1
2026-04-02,KCR,MIN,1,2026,mlb_666142,Cole Ragans,mlb_671737,Taj Bradley,,20260402_KCR_MIN_1
2026-04-02,SFG,NYM,1,2026,mlb_592662,Robbie Ray,mlb_656849,David Peterson,,20260402_SFG_NYM_1
2026-04-03,ARI,ATL,1,2026,mlb_593958,Eduardo Rodriguez,mlb_656550,Grant Holmes,,20260403_ARI_ATL_1
2026-04-03,ATH,HOU,1,2026,mlb_605488,Jeffrey Springs,mlb_664299,Cristian Javier,,20260403_ATH_HOU_1
2026-04-03,BOS,SDP,1,2026,mlb_543243,Sonny Gray,mlb_650633,Michael King,,20260403_BOS_SDP_1
2026-04-03,CHW,TOR,1,2026,mlb_691799,Grant Taylor,mlb_656302,Dylan Cease,,20260403_CHW_TOR_1
2026-04-03,CLE,CHC,1,2026,mlb_676282,Joey Cantillo,mlb_690990,Cade Horton,,20260403_CLE_CHC_1
2026-04-03,COL,PHI,1,2026,mlb_547179,Michael Lorenzen,mlb_605400,Aaron Nola,,20260403_COL_PHI_1
2026-04-03,DET,STL,1,2026,mlb_664285,Framber Valdez,mlb_700241,Michael McGreevy,,20260403_DET_STL_1
2026-04-03,LAA,SEA,1,2026,mlb_672282,Reid Detmers,mlb_693433,Bryan Woo,,20260403_LAA_SEA_1
