feature,bucket,games,bets,wins,win_rate,avg_value,avg_edge,staked,pnl,roi
home_season_win_pct,mid,171.0,171.0,88.0,0.5146198830409356,0.5472475953904713,0.06762923976608189,372.74,110.10999999999999,0.2954069861029135
home_season_win_pct,high,39.0,39.0,12.0,0.3076923076923077,0.5971223921711996,0.09037948717948718,129.23,-34.390000000000015,-0.2661146792540433
away_season_win_pct,low,105.0,105.0,44.0,0.41904761904761906,0.4401332308181678,0.09591714285714285,365.11,1.470000000000003,0.004026183889786648
away_season_win_pct,mid,171.0,171.0,88.0,0.5146198830409356,0.5472475953904713,0.06762923976608189,372.74,110.10999999999999,0.2954069861029135
away_season_win_pct,high,39.0,39.0,12.0,0.3076923076923077,0.5971223921711996,0.09037948717948718,129.23,-34.390000000000015,-0.2661146792540433
home_season_win_pct_delta,low,105.0,105.0,50.0,0.47619047619047616,-0.046627322577465366,0.09777238095238097,373.15,40.82,0.10939300549376926
home_season_win_pct_delta,mid,193.0,193.0,88.0,0.45595854922279794,0.07601653108970466,0.06983264248704664,442.41999999999996,40.690000000000005,0.0919714298630261
home_season_win_pct_delta,high,17.0,17.0,6.0,0.35294117647058826,0.12509506251529157,0.08334705882352941,51.51,-4.320000000000001,-0.08386721025043684
away_season_win_pct_delta,low,105.0,105.0,50.0,0.47619047619047616,-0.046627322577465366,0.09777238095238097,373.15,40.82,0.10939300549376926
away_season_win_pct_delta,mid,193.0,193.0,88.0,0.45595854922279794,0.07601653108970466,0.06983264248704664,442.41999999999996,40.690000000000005,0.0919714298630261
away_season_win_pct_delta,high,17.0,17.0,6.0,0.35294117647058826,0.12509506251529157,0.08334705882352941,51.51,-4.320000000000001,-0.08386721025043684
season_win_pct_delta_diff,low,105.0,105.0,48.0,0.45714285714285713,-0.056386077787896345,0.09427142857142859,355.9,34.05,0.09567294183759482
season_win_pct_delta_diff,mid,168.0,168.0,80.0,0.47619047619047616,0.07119539739828012,0.0694279761904762,383.47,47.89,0.12488591024069678
season_win_pct_delta_diff,high,41.0,41.0,15.0,0.36585365853658536,0.12913118186992154,0.08531707317073171,124.22999999999999,-9.420000000000002,-0.07582709490461244
temp_f,low,200.0,200.0,98.0,0.49,65.2765,0.0706245,465.43000000000006,85.42,0.18352920954815974
temp_f,mid,19.0,19.0,9.0,0.47368421052631576,68.91052631578948,0.0948842105263158,62.830000000000005,12.57,0.2000636638548464
temp_f,high,110.0,110.0,43.0,0.39090909090909093,79.57818181818182,0.09514727272727272,379.5999999999999,-23.490000000000013,-0.06188092729188625
humidity_pct,low,111.0,111.0,41.0,0.36936936936936937,47.77477477477478,0.09383693693693694,381.7299999999999,-61.5,-0.16110863699473454
humidity_pct,mid,215.0,215.0,108.0,0.5023255813953489,86.63720930232559,0.07295906976744186,514.02,137.76000000000005,0.26800513598692666
humidity_pct,high,3.0,3.0,1.0,0.3333333333333333,95.33333333333333,0.09726666666666667,12.11,-1.7599999999999998,-0.14533443435177537
home_il_count,low,174.0,174.0,87.0,0.5,15.775862068965518,0.06807011494252876,383.71,105.93000000000005,0.2760678637512706
home_il_count,mid,46.0,46.0,22.0,0.4782608695652174,22.934782608695652,0.0897173913043478,146.52000000000004,31.189999999999994,0.21287196287196278
home_il_count,high,109.0,109.0,41.0,0.3761467889908257,39.93577981651376,0.0956211009174312,377.63000000000005,-62.620000000000005,-0.1658236898551492
away_il_count,low,174.0,174.0,87.0,0.5,15.775862068965518,0.06807011494252876,383.71,105.93000000000005,0.2760678637512706
away_il_count,mid,46.0,46.0,22.0,0.4782608695652174,22.934782608695652,0.0897173913043478,146.52000000000004,31.189999999999994,0.21287196287196278
