date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-09-01,ATH @ STL,3.0,11.0,,0.0,,,,,,,missing odds,,0.0,129.26,STL,ATH,,,,,,,,,
2025-09-01,CLE @ BOS,6.0,4.0,,0.0,-148.8,0.5969,0.5728,0.0241,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,BOS,CLE,home,True,Brayan Bello,Parker Messick,R,L,,,late
2025-09-01,BAL @ SDP,3.0,4.0,,0.0,-160.7,0.6479,0.5898,0.058,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,SDP,BAL,home,True,Dylan Cease,Kyle Bradish,R,R,,,late
2025-09-01,TOR @ CIN,5.0,4.0,,0.0,,,,,,,missing odds,,0.0,129.26,CIN,TOR,,,,,,,,,
2025-09-01,ATL @ CHC,7.0,6.0,,0.0,,,,,,,missing odds,,0.0,129.26,CHC,ATL,,,,,,,,,
2025-09-01,PHI @ MIL,8.0,10.0,,0.0,128.0,0.4556,0.4189,0.0366,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,MIL,PHI,away,False,Taijuan Walker,Jacob Misiorowski,R,R,,,late
2025-09-01,TEX @ ARI,5.0,7.0,,0.0,120.2,0.4406,0.4347,0.0058,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,ARI,TEX,away,False,Patrick Corbin,Ryne Nelson,L,R,,,late
2025-09-02,CLE @ BOS,11.0,7.0,,0.0,-258.3,0.7138,0.6907,0.0232,<-180,,<-180 excluded by static_underdog_130_170,,0.0,129.26,BOS,CLE,home,True,Garrett Crochet,Slade Cecconi,L,R,,,late
2025-09-02,SEA @ TBR,6.0,5.0,,0.0,,,,,,,missing odds,,0.0,129.26,TBR,SEA,,,,,,,,,
2025-09-02,MIA @ WSN,5.0,2.0,,0.0,104.5,0.4959,0.4679,0.028,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,WSN,MIA,away,False,Adam Mazur,Cade Cavalli,R,R,,,late
2025-09-02,SFG @ COL,4.0,7.0,,0.0,193.2,0.4328,0.3268,0.106,+170+,,+170+ excluded by static_underdog_130_170,,0.0,129.26,COL,SFG,home,False,Kyle Freeland,Logan Webb,L,R,,,late
2025-09-02,NYM @ DET,5.0,12.0,,0.0,108.7,0.5416,0.4578,0.0838,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,DET,NYM,home,False,Sawyer Gipson-Long,Nolan McLean,R,R,,,late
2025-09-02,ATL @ CHC,4.0,3.0,,0.0,-175.0,0.6142,0.6095,0.0047,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,CHC,ATL,home,True,Shota Imanaga,Joey Wentz,L,L,,,late
2025-09-02,LAD @ PIT,9.0,7.0,PIT,3.12,147.3,0.4619,0.389,0.0729,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,True,4.6,133.86,PIT,LAD,home,False,Carmen Mlodzinski,Clayton Kershaw,R,L,,,late
2025-09-02,TOR @ CIN,9.0,12.0,,0.0,,,,,,,missing odds,,0.0,133.86,CIN,TOR,,,,,,,,,
